Disambiguation;Pcorrect;rBias;absBias;RT;Frequency;PhaseDur;Unclear;LowConf;HighConf;block_id;session_id;subject_id
0;NaN;70;20;0,66165214736294;22,5;3,94679002015153;0;47,5;52,5;2;2;38
0;NaN;36,25;13,75;0,73812574310216;33,75;2,72147080003786;0;47,5;52,5;3;2;38
0;NaN;0;50;1,1966737871971;0;18,2851284477906;0;62,5;37,5;4;2;38
0;NaN;85;35;0,324819358889945;1,25;6,49471775467973;0;11,25;88,75;5;2;38
0,1;40;52,5;2,5;0,861072588876889;41,25;2,88733776476313;0;46,25;53,75;1;3;38
0;41,25;30;20;0,781486904480445;11,25;6,23057096606782;0;50;50;2;3;38
0,5;97,5;57,5;7,5;0,774347177401862;10;10,4894422593294;0;6,25;93,75;3;3;38
0,25;76,25;62,5;12,5;0,802757846912968;10;8,02763438213982;0;26,25;73,75;4;3;38
1;86,25;65;15;0,743733453223637;13,75;7,11783581883064;0;28,75;71,25;5;3;38
NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;1;4;38
NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;2;4;38
NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;3;4;38
NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;4;4;38
NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;5;4;38
NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;1;5;38
NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;2;5;38
NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;3;5;38
NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;4;5;38
NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;5;5;38
1;100;51,25;1,25;0,784488843857749;21,25;6,87681053518317;0;0;100;1;1;39
1;98,75;33,75;16,25;0,660964617872695;13,75;10,4915442780359;0;0;100;2;1;39
1;98,75;57,5;7,5;0,61798932281988;17,5;8,35041279272243;0;0;100;3;1;39
1;96,25;61,25;11,25;0,632683362424972;17,5;8,35041279272243;0;0;100;4;1;39
1;100;58,75;8,75;0,681215676092077;11,25;10,04190666612;0;0;100;5;1;39
0;NaN;42,5;7,5;0,0398730777110905;1,25;68,9416458074469;0;0;100;1;2;39
0;NaN;16,25;33,75;0,104524237462319;1,25;19,4835085977567;0;0;100;2;2;39
0;NaN;15;35;0,650429849618425;3,75;34,9704000472557;0;0;100;3;2;39
0;NaN;100;50;NaN;0;120;0;0;100;4;2;39
0;NaN;92,5;42,5;0,517209278009832;1,25;110,906125864154;0;0;100;5;2;39
0,1;23,75;0;50;NaN;0;120;0;0;100;1;3;39
1;100;37,5;12,5;0,701394201284275;18,75;7,89362356696744;0;0;100;2;3;39
0;46,25;100;50;NaN;0;120;0;0;100;3;3;39
0,5;76,25;66,25;16,25;0,670581302142025;13,75;10,7640321367738;0;0;100;4;3;39
0,25;56,25;6,25;43,75;0,673561806059443;3,75;18,984664274985;0;0;100;5;3;39
NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;1;4;39
NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;2;4;39
NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;3;4;39
NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;4;4;39
NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;5;4;39
NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;1;5;39
NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;2;5;39
NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;3;5;39
NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;4;5;39
NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;5;5;39
1;100;53,75;3,75;0,734029207765784;12,5;11,5393622854133;0;0;100;1;1;40
1;100;46,25;3,75;0,716006606454214;22,5;6,49401340737543;0;0;100;2;1;40
1;100;78,75;28,75;0,658706488153842;15;9,11659574496935;0;0;100;3;1;40
1;100;56,25;6,25;0,701804013029335;15;8,61705625209432;0;0;100;4;1;40
1;100;60;10;0,771053899590639;12,5;10,9399148939632;0;0;100;5;1;40
0;NaN;0;50;NaN;0;120;0;0;100;1;2;40
0;NaN;0;50;NaN;0;120;0;0;100;2;2;40
0;NaN;0;50;NaN;0;120;0;0;100;3;2;40
0;NaN;0;50;NaN;0;120;0;0;100;4;2;40
0;NaN;62,5;12,5;0,458351227838893;1,25;44,9536781149684;0;0;100;5;2;40
0,5;100;45;5;0,70345885166822;16,25;9,10744123833951;0;0;100;1;3;40
0;42,5;100;50;NaN;0;120;0;0;100;2;3;40
0,25;66,25;57,5;7,5;0,826170182752467;8,75;13,4882357580471;0;0;100;3;3;40
1;100;36,25;13,75;0,701464317649049;21,25;6,87635548449462;0;0;100;4;3;40
0,1;27,5;0;50;NaN;0;120;0;0;100;5;3;40
NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;1;4;40
NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;2;4;40
NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;3;4;40
NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;4;4;40
NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;5;4;40
NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;1;5;40
NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;2;5;40
NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;3;5;40
NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;4;5;40
NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;5;5;40
1;96,25;55;5;0,830588235294118;16,25;7,59062039087785;0;0;100;1;1;41
1;90;33,75;16,25;0,730057921262788;15;7,70476505840985;0;31,25;68,75;2;1;41
1;88,75;60;10;0,755414034086677;10;10,3508459875607;0;41,25;58,75;3;1;41
1;100;56,25;6,25;0,673432555963137;10;11,0488471150113;0;0;100;4;1;41
1;100;63,75;13,75;0,610356902775265;11,25;13,1504169052489;0;0;100;5;1;41
0;NaN;55;5;0,726470588235294;3,75;18,7322488683327;0;50;50;1;2;41
